county_name_raw,B19013_001E,B17001_001E,B17001_002E,B23025_003E,B23025_005E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,data_year,state_fips,county_fips
"Lassen County, California",59515,23931,3645,9811,777,23744,2138,427,213,94,CA,035,2022,06,06035
"Los Angeles County, California",83411,9782602,1343978,5235164,365544,6909650,1542422,568367,177960,100810,CA,037,2022,06,06037
"Madera County, California",73543,150314,30154,67318,7492,99045,11497,3900,1034,556,CA,039,2022,06,06039
"Marin County, California",142019,255793,17809,136803,7887,191565,65256,31365,13822,6657,CA,041,2022,06,06041
"Mariposa County, California",60021,16960,2712,7734,482,13371,2607,951,145,165,CA,043,2022,06,06043
"Mendocino County, California",61335,89649,14483,41873,3811,65163,9382,4315,1411,523,CA,045,2022,06,06045
"Merced County, California",64772,276803,51272,123984,13272,168503,17165,5319,1285,908,CA,047,2022,06,06047
"Modoc County, California",54962,8464,1430,3452,264,6511,1062,390,61,38,CA,049,2022,06,06049
"Mono County, California",82038,13095,1478,7423,144,9628,1897,541,440,175,CA,051,2022,06,06051
"Monterey County, California",91043,421244,51913,198006,10504,279734,45473,20444,5737,4059,CA,053,2022,06,06053
"Napa County, California",105809,134649,10620,72132,3733,98232,24039,8534,3133,1464,CA,055,2022,06,06055
"Nevada County, California",79395,101291,10505,47154,2090,79007,19803,7518,2131,1210,CA,057,2022,06,06057
"Orange County, California",109361,3137483,303810,1688826,90700,2197677,591937,238150,69299,40432,CA,059,2022,06,06059
"Placer County, California",109375,403083,27446,198559,8466,286915,79373,29273,9413,3711,CA,061,2022,06,06061
"Plumas County, California",67885,19331,2101,8321,667,15236,2227,746,137,117,CA,063,2022,06,06063
"Riverside County, California",84505,2392682,272432,1150967,77625,1594000,244893,100450,22490,15613,CA,065,2022,06,06065
"Sacramento County, California",84010,1560173,204388,795310,50165,1077155,227553,82498,28304,13049,CA,067,2022,06,06067
"San Benito County, California",104451,64339,4832,34055,2127,42300,6667,1989,458,191,CA,069,2022,06,06069
"San Bernardino County, California",77423,2135785,294246,1029549,73890,1388742,201183,81561,16850,11786,CA,071,2022,06,06071
"San Diego County, California",96974,3204475,338752,1681442,106617,2257620,564011,242010,65544,55116,CA,073,2022,06,06073
"San Francisco County, California",136689,837888,87849,526058,28177,680343,238669,111452,34832,21821,CA,075,2022,06,06075
"San Joaquin County, California",82837,763754,98352,364956,26331,495879,68376,22666,6319,3337,CA,077,2022,06,06077
"San Luis Obispo County, California",90158,268028,33728,138411,6905,189527,45318,17559,5987,3103,CA,079,2022,06,06079
"San Mateo County, California",149907,748410,48137,421651,19184,547817,161021,81293,22518,24847,CA,081,2022,06,06081
"Santa Barbara County, California",92332,425067,57513,222002,13414,277891,59212,25044,7608,7279,CA,083,2022,06,06083
"Santa Clara County, California",153792,1886562,129834,1048639,46592,1341405,377331,262781,39373,62687,CA,085,2022,06,06085
"Santa Cruz County, California",104409,257415,29302,142569,8465,180171,44286,21144,5788,5319,CA,087,2022,06,06087
"Shasta County, California",68347,178820,23753,81663,5349,128883,19783,6335,2367,842,CA,089,2022,06,06089
"Sierra County, California",61108,2854,359,1317,74,2249,265,147,118,7,CA,091,2022,06,06091
"Siskiyou County, California",53898,43698,7289,17960,1337,32134,4772,1505,530,262,CA,093,2022,06,06093
"Solano County, California",97037,441378,39705,225433,13275,312706,60316,19531,5380,2955,CA,095,2022,06,06095
"Sonoma County, California",99266,481716,42925,261458,13543,354851,82815,33801,12180,5503,CA,097,2022,06,06097
"Stanislaus County, California",74872,547303,75125,258171,21061,350685,44136,13144,4413,2194,CA,099,2022,06,06099
"Sutter County, California",72654,98113,13065,45734,3483,64986,9068,2964,840,530,CA,101,2022,06,06101
"Tehama County, California",59029,64796,10483,27635,2038,44986,5951,1664,473,86,CA,103,2022,06,06103
"Trinity County, California",47317,15717,3457,5613,413,12553,1463,596,134,215,CA,105,2022,06,06105
"Tulare County, California",64474,467719,86391,209802,18919,280911,28337,11441,3041,1051,CA,107,2022,06,06107
"Tuolumne County, California",70432,51779,5887,22724,1895,42078,6941,2422,626,294,CA,109,2022,06,06109
"Ventura County, California",102141,830237,74315,432376,22989,575974,125787,51062,13864,9224,CA,111,2022,06,06111
"Yolo County, California",85097,209629,36521,108433,5740,129126,28888,14307,6056,6623,CA,113,2022,06,06113
"Yuba County, California",66693,80299,12375,34195,2538,51600,5915,2241,480,321,CA,115,2022,06,06115
"Churchill County, Nevada",69922,24800,2464,11518,724,17516,2169,515,348,58,NV,001,2022,32,32001
"Clark County, Nevada",69911,2242185,299459,1144999,87734,1560375,271537,98248,27060,15014,NV,003,2022,32,32003
"Douglas County, Nevada",84262,49185,3678,22369,688,38843,7930,2954,833,453,NV,005,2022,32,32005
"Elko County, Nevada",87755,52640,5473,27585,1310,34678,3642,1605,458,193,NV,007,2022,32,32007
"Esmeralda County, Nevada",40694,973,157,429,20,873,133,79,0,0,NV,009,2022,32,32009
"Eureka County, Nevada",73929,1616,285,579,0,1111,108,61,0,0,NV,011,2022,32,32011
"Humboldt County, Nevada",75574,17082,2448,8703,377,11339,1751,471,76,62,NV,013,2022,32,32013
"Lander County, Nevada",92388,5679,611,2643,308,3854,255,128,131,27,NV,015,2022,32,32015
"Lincoln County, Nevada",67412,4009,288,1721,70,3187,292,197,0,0,NV,017,2022,32,32017
"Lyon County, Nevada",70026,59070,6114,28248,2021,43054,4970,1502,242,223,NV,019,2022,32,32019
"Mineral County, Nevada",46625,4482,828,1774,103,3263,414,51,13,0,NV,021,2022,32,32021
"Nye County, Nevada",53602,50648,7746,18500,1725,40380,3372,1270,213,208,NV,023,2022,32,32023
"Pershing County, Nevada",66304,4807,472,2225,190,5013,291,191,16,6,NV,027,2022,32,32027
"Storey County, Nevada",86932,4083,371,1445,101,3113,526,321,87,42,NV,029,2022,32,32029
"Washoe County, Nevada",81531,479485,52165,261250,13057,339174,66824,29693,7573,6067,NV,031,2022,32,32031
"White Pine County, Nevada",71297,7399,684,3617,147,6727,664,185,0,46,NV,033,2022,32,32033
"Carson City, Nevada",67465,55586,6213,28674,1334,41987,6883,2371,677,274,NV,510,2022,32,32510
"Beaver County, Utah",80268,6898,485,3180,116,4241,924,192,20,32,UT,001,2022,49,49001
"Box Elder County, Utah",72769,57908,4719,27722,729,34857,6499,2046,240,221,UT,003,2022,49,49003
"Cache County, Utah",72719,130636,17695,69240,1694,68799,17456,7168,1096,1768,UT,005,2022,49,49005
"Carbon County, Utah",53734,19975,3317,8852,596,13286,1563,504,94,62,UT,007,2022,49,49007
"Daggett County, Utah",61250,589,46,258,9,429,53,16,2,7,UT,009,2022,49,49009
"Davis County, Utah",101285,360353,21786,182883,4495,215372,54957,21481,3754,2456,UT,011,2022,49,49011
"Duchesne County, Utah",70821,19443,2625,8365,359,11720,1152,441,45,47,UT,013,2022,49,49013
"Emery County, Utah",67056,9791,1156,4195,152,6282,572,369,38,1,UT,015,2022,49,49015
"Garfield County, Utah",56481,4947,787,2445,108,3747,785,268,56,27,UT,017,2022,49,49017
"Grand County, Utah",59171,9599,1505,5762,72,6970,1501,401,281,28,UT,019,2022,49,49019
"Iron County, Utah",63005,57417,8109,28173,924,32559,6623,2222,518,528,UT,021,2022,49,49021
"Juab County, Utah",88048,11784,1009,5592,105,6736,989,327,88,37,UT,023,2022,49,49023
"Kane County, Utah",70327,7571,978,3598,127,5607,1238,406,84,88,UT,025,2022,49,49025
"Millard County, Utah",69403,12862,1439,5644,249,7915,1428,328,18,90,UT,027,2022,49,49027
"Morgan County, Utah",120854,12355,213,5498,94,6940,1667,722,103,116,UT,029,2022,49,49029
"Piute County, Utah",33359,1746,365,636,58,1234,171,58,0,13,UT,031,2022,49,49031
"Rich County, Utah",69250,2535,203,1007,26,1528,250,118,27,15,UT,033,2022,49,49033
"Salt Lake County, Utah",90011,1164763,94306,652770,23453,754424,182997,71199,17745,12429,UT,035,2022,49,49035
"San Juan County, Utah",52108,14222,2937,5942,718,8909,1153,437,76,32,UT,037,2022,49,49037
"Sanpete County, Utah",64356,26244,3888,12823,584,17341,2294,1180,148,249,UT,039,2022,49,49039
"Sevier County, Utah",66972,21303,2501,9836,480,13611,2083,818,114,92,UT,041,2022,49,49041
"Summit County, Utah",126392,42362,2218,23491,529,28806,10326,4340,1218,663,UT,043,2022,49,49043
"Tooele County, Utah",95545,73221,3322,38337,1494,43518,6423,2523,279,603,UT,045,2022,49,49045
"Uintah County, Utah",67983,35473,4105,15564,973,21267,2856,767,114,86,UT,047,2022,49,49047
"Utah County, Utah",91263,649200,57565,337844,11600,335378,99898,32451,5585,5696,UT,049,2022,49,49049
"Wasatch County, Utah",104855,34777,1864,17623,418,21373,6585,2240,624,527,UT,051,2022,49,49051
"Washington County, Utah",71976,181111,15967,80763,2466,120527,24819,10020,2575,2076,UT,053,2022,49,49053
"Wayne County, Utah",64870,2505,212,1282,8,1753,269,87,9,25,UT,055,2022,49,49055
"Weber County, Utah",82291,260040,19866,136933,4224,164790,31010,10422,1619,1461,UT,057,2022,49,49057
"Apache County, Arizona",40338,64278,20070,20532,2057,42473,3769,2251,171,294,AZ,001,2023,04,04001
"Cochise County, Arizona",58970,119342,18544,46480,3392,89259,15057,7394,1176,1060,AZ,003,2023,04,04003
"Coconino County, Arizona",69748,132808,23485,73416,4867,87596,20482,9806,1943,2474,AZ,005,2023,04,04005
"Gila County, Arizona",59089,52303,9297,20645,1521,40128,4991,2109,238,225,AZ,007,2023,04,04007
"Graham County, Arizona",67326,35747,6319,15106,955,24775,2407,1029,102,77,AZ,009,2023,04,04009
"Greenlee County, Arizona",75239,9412,1016,4265,151,6030,946,205,56,24,AZ,011,2023,04,04011
"La Paz County, Arizona",49506,16270,3001,6087,660,13237,1165,587,44,38,AZ,012,2023,04,04012
"Maricopa County, Arizona",85518,4425433,497877,2322355,106930,3053505,681592,299767,68274,45293,AZ,013,2023,04,04013
"Mohave County, Arizona",55799,212617,35787,81599,5662,169454,15551,6814,1759,1100,AZ,015,2023,04,04015
"Navajo County, Arizona",52752,105125,25979,37845,3317,71809,7503,3819,801,538,AZ,017,2023,04,04017
"Pima County, Arizona",67929,1021158,146560,497064,28264,720400,146720,77426,16976,17290,AZ,019,2023,04,04019
"Pinal County, Arizona",77588,429221,46664,192635,11246,317410,47556,18256,2237,2258,AZ,021,2023,04,04021
"Santa Cruz County, Arizona",53614,48023,9707,21086,2210,31301,4808,2025,405,296,AZ,023,2023,04,04023
"Yavapai County, Arizona",66106,237390,29898,100945,4252,188587,32658,16676,3775,2717,AZ,025,2023,04,04025
"Yuma County, Arizona",60417,200032,32921,82451,6700,134669,14330,6400,1357,365,AZ,027,2023,04,04027
"Alameda County, California",126240,1624096,149752,908826,47017,1189902,341463,191764,37169,42039,CA,001,2023,06,06001
"Alpine County, California",110781,1695,209,806,29,1178,264,145,46,41,CA,003,2023,06,06003
"Amador County, California",81526,37799,2931,17083,1043,32504,5027,1663,414,191,CA,005,2023,06,06005
"Butte County, California",68574,204601,37531,101141,7192,136246,28185,9610,3230,2193,CA,007,2023,06,06007
"Calaveras County, California",79877,45528,6083,19090,1117,35694,5242,2022,390,265,CA,009,2023,06,06009
"Colusa County, California",75149,21588,2332,10360,869,13970,1579,347,71,32,CA,011,2023,06,06011
"Contra Costa County, California",125727,1151878,95048,608587,35999,810988,221951,97680,26108,18477,CA,013,2023,06,06013
"Del Norte County, California",66780,24952,2900,11094,712,19853,2540,1063,359,202,CA,015,2023,06,06015
"El Dorado County, California",106190,190642,15754,92417,4466,141832,36513,12422,4077,2053,CA,017,2023,06,06017
"Fresno County, California",71434,994567,185717,465169,39771,631185,98932,34067,11786,5781,CA,019,2023,06,06019
