state,hour,offense_type,period,crime_count,avg_population,crime_rate_per_100k
CA,12,burglary,standard,3131,676852.7011494252,462.5821829007942
CA,12,motor_vehicle_theft,DST,7610,676852.7011494252,1124.3214346454945
CA,12,motor_vehicle_theft,standard,3927,676852.7011494252,580.1853185089169
CA,13,burglary,DST,4266,676852.7011494252,630.2700709852405
CA,13,burglary,standard,2150,676852.7011494252,317.6466602480701
CA,13,motor_vehicle_theft,DST,5638,676852.7011494252,832.9729630133113
CA,13,motor_vehicle_theft,standard,2928,676852.7011494252,432.59042846806943
CA,14,burglary,DST,4636,676852.7011494252,684.9348450744432
CA,14,burglary,standard,2556,676852.7011494252,377.6301691135196
CA,14,motor_vehicle_theft,DST,6242,676852.7011494252,922.2095131481179
CA,14,motor_vehicle_theft,standard,3349,676852.7011494252,494.79007682362175
CA,15,burglary,DST,5479,676852.7011494252,809.4818844182214
CA,15,burglary,standard,2933,676852.7011494252,433.32914163143704
CA,15,motor_vehicle_theft,DST,7045,676852.7011494252,1040.8468471849553
CA,15,motor_vehicle_theft,standard,3715,676852.7011494252,548.8638803821304
CA,16,burglary,DST,5853,676852.7011494252,864.7376290381183
CA,16,burglary,standard,3189,676852.7011494252,471.1512555958584
CA,16,motor_vehicle_theft,DST,8081,676852.7011494252,1193.908214634723
CA,16,motor_vehicle_theft,standard,4246,676852.7011494252,627.31521833177
CA,17,burglary,DST,7048,676852.7011494252,1041.2900750829758
CA,17,burglary,standard,3903,676852.7011494252,576.6394953247524
CA,17,motor_vehicle_theft,DST,9541,676852.7011494252,1409.6124583380636
CA,17,motor_vehicle_theft,standard,5180,676852.7011494252,765.3068372488386
CA,18,burglary,DST,6128,676852.7011494252,905.3668530233365
CA,18,burglary,standard,3397,676852.7011494252,501.8817231919507
CA,18,motor_vehicle_theft,DST,9671,676852.7011494252,1428.8190005856213
CA,18,motor_vehicle_theft,standard,5285,676852.7011494252,780.8198136795584
CA,19,burglary,DST,5090,676852.7011494252,752.0100003082217
CA,19,burglary,standard,2771,676852.7011494252,409.39483513832664
CA,19,motor_vehicle_theft,DST,9456,676852.7011494252,1397.0543345608144
CA,19,motor_vehicle_theft,standard,4772,676852.7011494252,705.027843118042
CA,20,burglary,DST,5171,676852.7011494252,763.9771535547769
CA,20,burglary,standard,2624,676852.7011494252,387.676668135319
CA,20,motor_vehicle_theft,DST,10449,676852.7011494252,1543.7627688056207
CA,20,motor_vehicle_theft,standard,5376,676852.7011494252,794.2643932528488
CA,21,burglary,DST,4996,676852.7011494252,738.1221928369108
CA,21,burglary,standard,2475,676852.7011494252,365.6630158669644
CA,21,motor_vehicle_theft,DST,10619,676852.7011494252,1568.8790163601193
CA,21,motor_vehicle_theft,standard,4912,676852.7011494252,725.711811692335
CA,22,burglary,DST,4638,676852.7011494252,685.2303303397903
CA,22,burglary,standard,2237,676852.7011494252,330.50026929066644
CA,22,motor_vehicle_theft,DST,10530,676852.7011494252,1555.7299220521759
CA,22,motor_vehicle_theft,standard,4845,676852.7011494252,715.8130553032091
CA,23,burglary,DST,4024,676852.7011494252,594.5163538782484
CA,23,burglary,standard,2010,676852.7011494252,296.96269167377716
CA,23,motor_vehicle_theft,DST,8160,676852.7011494252,1205.579882615931
CA,23,motor_vehicle_theft,standard,3691,676852.7011494252,545.3180571979659
NV,1,burglary,DST,710,189371.49019607843,374.92444045555857
NV,1,burglary,standard,360,189371.49019607843,190.10253318873393
NV,1,motor_vehicle_theft,DST,967,189371.49019607843,510.63652664862695
NV,1,motor_vehicle_theft,standard,417,189371.49019607843,220.20210094361678
NV,2,burglary,DST,733,189371.49019607843,387.06988007594987
NV,2,burglary,standard,358,189371.49019607843,189.04640800435206
NV,2,motor_vehicle_theft,DST,803,189371.49019607843,424.03426152931485
NV,2,motor_vehicle_theft,standard,374,189371.49019607843,197.4954094794069
NV,3,burglary,DST,704,189371.49019607843,371.756064902413
NV,3,burglary,standard,386,189371.49019607843,203.83216058569806
NV,3,motor_vehicle_theft,DST,787,189371.49019607843,415.58526005426
NV,3,motor_vehicle_theft,standard,337,189371.49019607843,177.95709356834257
NV,4,burglary,DST,730,189371.49019607843,385.4856922993771
NV,4,burglary,standard,355,189371.49019607843,187.46222022777928
NV,4,motor_vehicle_theft,DST,895,189371.49019607843,472.6160200108801
NV,4,motor_vehicle_theft,standard,387,189371.49019607843,204.36022317788897
NV,5,burglary,DST,655,189371.49019607843,345.8809978850575
NV,5,burglary,standard,286,189371.49019607843,151.02590136660527
NV,5,motor_vehicle_theft,DST,1171,189371.49019607843,618.3612954555762
NV,5,motor_vehicle_theft,standard,521,189371.49019607843,275.12061053147323
NV,6,burglary,DST,726,189371.49019607843,383.3734419306134
NV,6,burglary,standard,313,189371.49019607843,165.2835913557603
NV,6,motor_vehicle_theft,DST,1498,189371.49019607843,791.0377631020095
NV,6,motor_vehicle_theft,standard,696,189371.49019607843,367.5315641648856
NV,7,burglary,DST,882,189371.49019607843,465.7512063123981
NV,7,burglary,standard,462,189371.49019607843,243.96491759220854
NV,7,motor_vehicle_theft,DST,1939,189371.49019607843,1023.9133662582086
NV,7,motor_vehicle_theft,standard,880,189371.49019607843,464.6950811280162
NV,8,burglary,DST,1159,189371.49019607843,612.024544349285
NV,8,burglary,standard,561,189371.49019607843,296.2431142191104
NV,8,motor_vehicle_theft,DST,2059,189371.49019607843,1087.2808773211198
NV,8,motor_vehicle_theft,standard,981,189371.49019607843,518.0294029393
NV,9,burglary,DST,1385,189371.49019607843,731.3666901844347
NV,9,burglary,standard,776,189371.49019607843,409.7765715401598
NV,9,motor_vehicle_theft,DST,2177,189371.49019607843,1149.592263199649
NV,9,motor_vehicle_theft,standard,1041,189371.49019607843,549.7131584707555
NV,10,burglary,DST,1451,189371.49019607843,766.2188212690359
NV,10,burglary,standard,779,189371.49019607843,411.3607593167325
NV,10,motor_vehicle_theft,DST,2096,189371.49019607843,1106.819193232184
NV,10,motor_vehicle_theft,standard,991,189371.49019607843,523.3100288612092
NV,11,burglary,DST,1457,189371.49019607843,769.3871968221814
NV,11,burglary,standard,750,189371.49019607843,396.0469441431956
