state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2023,21,burglary,DST,211,2023,7153691,2.9495263354260057
AZ,2023,21,burglary,standard,84,2023,7153691,1.1742190150511114
AZ,2023,21,motor_vehicle_theft,DST,351,2023,7153691,4.906558027177859
AZ,2023,21,motor_vehicle_theft,standard,146,2023,7153691,2.0409044785412176
AZ,2023,22,burglary,DST,175,2023,7153691,2.446289614689815
AZ,2023,22,burglary,standard,83,2023,7153691,1.1602402172528838
AZ,2023,22,motor_vehicle_theft,DST,323,2023,7153691,4.515151688827488
AZ,2023,22,motor_vehicle_theft,standard,140,2023,7153691,1.9570316917518522
AZ,2023,23,burglary,DST,147,2023,7153691,2.054883276339445
AZ,2023,23,burglary,standard,65,2023,7153691,0.9086218568847885
AZ,2023,23,motor_vehicle_theft,DST,217,2023,7153691,3.033399122215371
AZ,2023,23,motor_vehicle_theft,standard,114,2023,7153691,1.5935829489979367
AZ,2024,1,burglary,DST,196,2024,7262907,2.6986439451861357
AZ,2024,1,burglary,standard,86,2024,7262907,1.1840988739082023
AZ,2024,1,motor_vehicle_theft,DST,163,2024,7262907,2.244280423802756
AZ,2024,1,motor_vehicle_theft,standard,99,2024,7262907,1.3630905641501398
AZ,2024,2,burglary,DST,192,2024,7262907,2.643569578957847
AZ,2024,2,burglary,standard,88,2024,7262907,1.2116360570223466
AZ,2024,2,motor_vehicle_theft,DST,193,2024,7262907,2.6573381705149193
AZ,2024,2,motor_vehicle_theft,standard,91,2024,7262907,1.252941831693563
AZ,2024,3,burglary,DST,185,2024,7262907,2.5471894380583424
AZ,2024,3,burglary,standard,93,2024,7262907,1.2804790148077072
AZ,2024,3,motor_vehicle_theft,DST,198,2024,7262907,2.7261811283002797
AZ,2024,3,motor_vehicle_theft,standard,75,2024,7262907,1.032644366780409
AZ,2024,4,burglary,DST,182,2024,7262907,2.505883663387126
AZ,2024,4,burglary,standard,70,2024,7262907,0.9638014089950484
