state,year,month,crime_type,avg_daily_count,data_year,population,avg_daily_rate_per_100k
CA,2024,10,motor_vehicle_theft,7.272540983606557,2024,39431263,0.018443591278338098
CA,2024,11,burglary,7.007777777777778,2024,39431263,0.01777213623052799
CA,2024,11,motor_vehicle_theft,7.1915343915343914,2024,39431263,0.01823815380079099
CA,2024,12,burglary,7.396367521367521,2024,39431263,0.018757622654307374
CA,2024,12,motor_vehicle_theft,8.030851063829788,2024,39431263,0.020366710201065046
NV,2022,1,burglary,10.0,2022,3176116,0.3148499613993947
NV,2022,1,motor_vehicle_theft,11.163461538461538,2022,3176116,0.3514815434468243
NV,2022,2,burglary,9.787037037037036,2022,3176116,0.3081448233325557
NV,2022,2,motor_vehicle_theft,11.138613861386139,2022,3176116,0.3506992144300189
NV,2022,3,burglary,9.24031007751938,2022,3176116,0.2909311271225415
NV,2022,3,motor_vehicle_theft,12.62135922330097,2022,3176116,0.39738344642642054
NV,2022,4,burglary,9.32283464566929,2022,3176116,0.2935294128321916
NV,2022,4,motor_vehicle_theft,11.358490566037736,2022,3176116,0.35762203162723705
NV,2022,5,burglary,10.137931034482758,2022,3176116,0.31919271948766226
NV,2022,5,motor_vehicle_theft,12.190909090909091,2022,3176116,0.3838307256696258
NV,2022,6,burglary,9.1875,2022,3176116,0.28926840203569393
NV,2022,6,motor_vehicle_theft,12.418181818181818,2022,3176116,0.39098640661052114
NV,2022,7,burglary,9.286821705426357,2022,3176116,0.29239554554765496
NV,2022,7,motor_vehicle_theft,13.49056603773585,2022,3176116,0.42475041962371174
NV,2022,8,burglary,9.409090909090908,2022,3176116,0.29624519095306684
NV,2022,8,motor_vehicle_theft,12.696078431372548,2022,3176116,0.3997359804041335
NV,2022,9,burglary,8.181818181818182,2022,3176116,0.25760451387223204
NV,2022,9,motor_vehicle_theft,11.868421052631579,2022,3176116,0.3736771910292816
NV,2022,10,burglary,9.0,2022,3176116,0.28336496525945526
NV,2022,10,motor_vehicle_theft,12.695652173913043,2022,3176116,0.39972255968966636
NV,2022,11,burglary,9.047619047619047,2022,3176116,0.28486425078992855
NV,2022,11,motor_vehicle_theft,13.071428571428571,2022,3176116,0.4115538781149231
NV,2022,12,burglary,9.155737704918034,2022,3176116,0.2882683662976426
NV,2022,12,motor_vehicle_theft,14.615384615384615,2022,3176116,0.4601653281991154
NV,2023,1,burglary,9.470149253731343,2023,3214363,0.2946197817026684
NV,2023,1,motor_vehicle_theft,16.14814814814815,2023,3214363,0.5023747519539066
NV,2023,2,burglary,9.442307692307692,2023,3214363,0.2937536206180724
NV,2023,2,motor_vehicle_theft,16.797619047619047,2023,3214363,0.522580027446155
NV,2023,3,burglary,8.543103448275861,2023,3214363,0.26577905010342207
NV,2023,3,motor_vehicle_theft,16.696969696969695,2023,3214363,0.519448789603716
NV,2023,4,burglary,9.660377358490566,2023,3214363,0.3005378471096937
NV,2023,4,motor_vehicle_theft,17.232323232323232,2023,3214363,0.5361038324645733
NV,2023,5,burglary,9.932203389830509,2023,3214363,0.3089944536391972
NV,2023,5,motor_vehicle_theft,20.19607843137255,2023,3214363,0.6283073327863887
NV,2023,6,burglary,10.554545454545455,2023,3214363,0.3283557412322583
NV,2023,6,motor_vehicle_theft,19.73469387755102,2023,3214363,0.613953491797629
NV,2023,7,burglary,9.070866141732283,2023,3214363,0.2821979391167794
NV,2023,7,motor_vehicle_theft,19.79090909090909,2023,3214363,0.6157023674958021
NV,2023,8,burglary,9.570247933884298,2023,3214363,0.297733887986027
NV,2023,8,motor_vehicle_theft,19.69811320754717,2023,3214363,0.61281545387211
NV,2023,9,burglary,8.964912280701755,2023,3214363,0.27890167603042204
NV,2023,9,motor_vehicle_theft,17.27027027027027,2023,3214363,0.5372843785929053
NV,2023,10,burglary,8.09016393442623,2023,3214363,0.2516879373744107
NV,2023,10,motor_vehicle_theft,17.054545454545455,2023,3214363,0.5305731012504019
NV,2023,11,burglary,9.0,2023,3214363,0.27999326771742955
NV,2023,11,motor_vehicle_theft,17.021978021978022,2023,3214363,0.529559916598655
NV,2023,12,burglary,7.991666666666666,2023,3214363,0.24862365161205086
NV,2023,12,motor_vehicle_theft,16.161616161616163,2023,3214363,0.5027937467428589
NV,2024,1,burglary,9.421052631578947,2024,3267467,0.2883289297666647
NV,2024,1,motor_vehicle_theft,14.414141414141413,2024,3267467,0.44114114738240395
NV,2024,2,burglary,9.304761904761905,2024,3267467,0.28476988152479904
NV,2024,2,motor_vehicle_theft,15.277777777777779,2024,3267467,0.4675725195626392
NV,2024,3,burglary,9.548076923076923,2024,3267467,0.2922164760371543
NV,2024,3,motor_vehicle_theft,13.0,2024,3267467,0.39786170755511835
NV,2024,4,burglary,9.542056074766355,2024,3267467,0.2920322094994794
NV,2024,4,motor_vehicle_theft,15.928571428571429,2024,3267467,0.4874898944219308
NV,2024,5,burglary,9.25,2024,3267467,0.2830939072988342
NV,2024,5,motor_vehicle_theft,15.34020618556701,2024,3267467,0.46948312517209845
NV,2024,6,burglary,9.46875,2024,3267467,0.28978869564711746
NV,2024,6,motor_vehicle_theft,17.023529411764706,2024,3267467,0.5210008061830373
NV,2024,7,burglary,10.03883495145631,2024,3267467,0.30723600120387784
NV,2024,7,motor_vehicle_theft,13.795454545454545,2024,3267467,0.4222063924579665
NV,2024,8,burglary,9.05607476635514,2024,3267467,0.27715887463760586
NV,2024,8,motor_vehicle_theft,12.048543689320388,2024,3267467,0.3687426281373427
NV,2024,9,burglary,9.583333333333334,2024,3267467,0.2932954895438373
NV,2024,9,motor_vehicle_theft,12.885416666666666,2024,3267467,0.3943549136583986
NV,2024,10,burglary,8.25,2024,3267467,0.25248916056382514
NV,2024,10,motor_vehicle_theft,14.151162790697674,2024,3267467,0.43309275321518703
NV,2024,11,burglary,9.051546391752577,2024,3267467,0.27702028487977315
NV,2024,11,motor_vehicle_theft,15.153846153846153,2024,3267467,0.4637796235997534
NV,2024,12,burglary,10.0,2024,3267467,0.3060474673500911
NV,2024,12,motor_vehicle_theft,14.45679012345679,2024,3267467,0.44244640032957605
