year,state,incident_date,days_from_transition,crime_type,avg_daily_count,avg_daily_rate_per_100k
2023,AZ,2023-03-18,6,burglary,28,0.3914063383503704
2023,AZ,2023-03-18,6,motor_vehicle_theft,22,0.30753355156100537
2023,AZ,2023-03-18,6,robbery,2,0.02795759559645503
2023,AZ,2023-03-18,6,shoplifting,47,0.6570034965166933
2023,AZ,2023-03-18,6,theft_from_building,14,0.1957031691751852
2023,AZ,2023-03-18,6,theft_from_motor_vehicle,27,0.37742754055214295
2023,AZ,2023-03-19,7,burglary,30,0.4193639339468255
2023,AZ,2023-03-19,7,motor_vehicle_theft,21,0.29355475376277784
2023,AZ,2023-03-19,7,robbery,3,0.041936393394682546
2023,AZ,2023-03-19,7,shoplifting,47,0.6570034965166933
2023,AZ,2023-03-19,7,theft_from_building,7,0.0978515845875926
2023,AZ,2023-03-19,7,theft_from_motor_vehicle,32,0.44732152954328047
2023,AZ,2023-03-20,8,burglary,14,0.1957031691751852
2023,AZ,2023-03-20,8,motor_vehicle_theft,21,0.29355475376277784
2023,AZ,2023-03-20,8,robbery,3,0.041936393394682546
2023,AZ,2023-03-20,8,shoplifting,63,0.8806642612883335
2023,AZ,2023-03-20,8,theft_from_building,9,0.12580918018404766
2023,AZ,2023-03-20,8,theft_from_motor_vehicle,24,0.33549114715746037
2023,AZ,2023-03-21,9,burglary,16,0.22366076477164024
2023,AZ,2023-03-21,9,motor_vehicle_theft,12,0.16774557357873018
2023,AZ,2023-03-21,9,robbery,1,0.013978797798227515
2023,AZ,2023-03-21,9,shoplifting,50,0.6989398899113758
2023,AZ,2023-03-21,9,theft_from_building,13,0.1817243713769577
2023,AZ,2023-03-21,9,theft_from_motor_vehicle,34,0.4752791251397355
2023,AZ,2023-03-22,10,burglary,21,0.29355475376277784
2023,AZ,2023-03-22,10,motor_vehicle_theft,21,0.29355475376277784
2023,AZ,2023-03-22,10,robbery,2,0.02795759559645503
2023,AZ,2023-03-22,10,shoplifting,46,0.6430246987184658
2023,AZ,2023-03-22,10,theft_from_building,16,0.22366076477164024
2023,AZ,2023-03-22,10,theft_from_motor_vehicle,43,0.6010883053237832
2023,AZ,2023-03-23,11,burglary,24,0.33549114715746037
2023,AZ,2023-03-23,11,motor_vehicle_theft,19,0.26559715816632284
2023,AZ,2023-03-23,11,robbery,2,0.02795759559645503
2023,AZ,2023-03-23,11,shoplifting,55,0.7688338789025134
2023,AZ,2023-03-23,11,theft_from_building,12,0.16774557357873018
2023,AZ,2023-03-23,11,theft_from_motor_vehicle,25,0.3494699449556879
2023,AZ,2023-03-24,12,burglary,23,0.3215123493592329
2023,AZ,2023-03-24,12,motor_vehicle_theft,28,0.3914063383503704
2023,AZ,2023-03-24,12,robbery,1,0.013978797798227515
2023,AZ,2023-03-24,12,shoplifting,51,0.7129186877096033
2023,AZ,2023-03-24,12,theft_from_building,22,0.30753355156100537
2023,AZ,2023-03-24,12,theft_from_motor_vehicle,23,0.3215123493592329
2023,AZ,2023-03-25,13,burglary,23,0.3215123493592329
2023,AZ,2023-03-25,13,motor_vehicle_theft,17,0.23763956256986776
2023,AZ,2023-03-25,13,robbery,4,0.05591519119291006
2023,AZ,2023-03-25,13,shoplifting,69,0.9645370480776986
2023,AZ,2023-03-25,13,theft_from_building,8,0.11183038238582012
2023,AZ,2023-03-25,13,theft_from_motor_vehicle,19,0.26559715816632284
2023,AZ,2023-03-26,14,burglary,21,0.29355475376277784
2023,AZ,2023-03-26,14,motor_vehicle_theft,27,0.37742754055214295
2023,AZ,2023-03-26,14,robbery,2,0.02795759559645503
2023,AZ,2023-03-26,14,shoplifting,52,0.7268974855078308
2023,AZ,2023-03-26,14,theft_from_building,10,0.13978797798227516
2023,AZ,2023-03-26,14,theft_from_motor_vehicle,41,0.5731307097273282
2024,AZ,2024-02-25,-14,burglary,18,0.24783464802729815
2024,AZ,2024-02-25,-14,motor_vehicle_theft,29,0.3992891551550915
2024,AZ,2024-02-25,-14,robbery,7,0.09638014089950483
2024,AZ,2024-02-25,-14,shoplifting,96,1.3217847894789234
2024,AZ,2024-02-25,-14,theft_from_building,11,0.15145450712779332
2024,AZ,2024-02-25,-14,theft_from_motor_vehicle,37,0.5094378876116684
2024,AZ,2024-02-26,-13,burglary,23,0.31667760581265875
