state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
CA,2022,06033,Lake County,56259,0.16591444122895144,0.09417326859187325,0.18212279088773112
CA,2022,06035,Lassen County,59515,0.15231289958631064,0.07338496411031356,0.12095687331536388
CA,2022,06037,Los Angeles County,83411,0.13738451180984365,0.06526746261365528,0.34582923881817457
CA,2022,06039,Madera County,73543,0.20060672991205078,0.10014703916588691,0.17150790044929073
CA,2022,06041,Marin County,142019,0.06962270273228743,0.05450964130209413,0.611280766319526
CA,2022,06043,Mariposa County,60021,0.15990566037735848,0.05866601752677702,0.2892827761573555
CA,2022,06045,Mendocino County,61335,0.16155227609900835,0.08342089134051309,0.2398753894080997
CA,2022,06047,Merced County,64772,0.18522920633085624,0.0966952264381885,0.14644843118520146
CA,2022,06049,Modoc County,54962,0.1689508506616257,0.07104413347685684,0.2382122561818461
CA,2022,06051,Mono County,82038,0.11286750668193968,0.019029998678472312,0.31709597008724555
CA,2022,06053,Monterey County,91043,0.12323736361823551,0.05037648074432881,0.2706606990927095
CA,2022,06055,Napa County,105809,0.07887173317291625,0.04920582613853556,0.3783899340337161
CA,2022,06057,Nevada County,79395,0.10371108983029094,0.042441718788075705,0.38809219436252484
CA,2022,06059,Orange County,109361,0.09683239717952256,0.05096862872472782,0.42764155060093
CA,2022,06061,Placer County,109375,0.06809019482339866,0.040893611882622874,0.42441141104508306
CA,2022,06063,Plumas County,67885,0.10868553101236356,0.07421005785491767,0.2118009976371751
CA,2022,06065,Riverside County,84505,0.113860513014266,0.06318208160235457,0.24055583437892095
CA,2022,06067,Sacramento County,84010,0.13100342077449104,0.05933351074839587,0.32623345758038536
CA,2022,06069,San Benito County,104451,0.07510219307107664,0.05878613675308164,0.21997635933806148
CA,2022,06071,San Bernardino County,77423,0.13776948522440227,0.06696337541087455,0.22421731322304647
CA,2022,06073,San Diego County,96974,0.1057121681398669,0.05962722706577356,0.41046810357810437
CA,2022,06075,San Francisco County,136689,0.10484575504124656,0.05083944536162458,0.5978954733127261
CA,2022,06077,San Joaquin County,82837,0.12877444831712828,0.06729331667037239,0.20306970047128434
CA,2022,06079,San Luis Obispo County,90158,0.12583759905681496,0.04751713507115528,0.37971898463015824
CA,2022,06081,San Mateo County,149907,0.06431902299541695,0.04351741581317273,0.5287878981484693
CA,2022,06083,Santa Barbara County,92332,0.13530337570312445,0.05697998436809733,0.3567693808003858
CA,2022,06085,Santa Clara County,153792,0.06882042572679826,0.04254079732951314,0.5532795837200547
CA,2022,06087,Santa Cruz County,104409,0.11383175028650235,0.05604698279857515,0.42480199366157706
CA,2022,06089,Shasta County,68347,0.1328318979979868,0.061474279409736585,0.2275474655307527
CA,2022,06091,Sierra County,61108,0.1257883672039243,0.053199137311286844,0.2387727879057359
CA,2022,06093,Siskiyou County,53898,0.1668039727218637,0.0692853811473286,0.2199850625505695
CA,2022,06095,Solano County,97037,0.0899569076845697,0.05561187727265111,0.281996507901991
CA,2022,06097,Sonoma County,99266,0.08910852037299986,0.049247093646932194,0.37846589131776437
CA,2022,06099,Stanislaus County,74872,0.13726400184175858,0.07542473641989457,0.18217773785591057
CA,2022,06101,Sutter County,72654,0.13316278169049972,0.07076823048946503,0.20622903394577294
CA,2022,06103,Tehama County,59029,0.1617846780665473,0.06868196677113875,0.18170097363624238
CA,2022,06105,Trinity County,47317,0.2199529172233887,0.06853634251576501,0.19182665498287263
CA,2022,06107,Tulare County,64474,0.1847070570150026,0.0827164973920191,0.1561704596829601
CA,2022,06109,Tuolumne County,70432,0.11369474111126132,0.07697306958040538,0.24437948571700177
CA,2022,06111,Ventura County,102141,0.08951058553160121,0.05048477594896402,0.34712851621774593
CA,2022,06113,Yolo County,85097,0.17421730771982885,0.05027458330778731,0.432709136812106
CA,2022,06115,Yuba County,66693,0.15411150823796063,0.06909318596357499,0.17358527131782947
NV,2022,32001,Churchill County,69922,0.09935483870967741,0.05914066329031204,0.17641013930121033
NV,2022,32003,Clark County,69911,0.1335567760911789,0.0711703183089931,0.2639487302731715
NV,2022,32005,Douglas County,84262,0.07477889600487954,0.029839094418181028,0.31331256597070256
NV,2022,32007,Elko County,87755,0.10397036474164134,0.04533656341927669,0.1700790126304862
NV,2022,32009,Esmeralda County,40694,0.16135662898252826,0.044543429844097995,0.24284077892325315
NV,2022,32011,Eureka County,73929,0.17636138613861385,0.0,0.15211521152115212
NV,2022,32013,Humboldt County,75574,0.14330874604847207,0.04151982378854625,0.20813122850339535
NV,2022,32015,Lander County,92388,0.10758936432470505,0.10437139952558455,0.14037363777893097
NV,2022,32017,Lincoln County,67412,0.07183836368171614,0.03908431044109436,0.1534358330718544
NV,2022,32019,Lyon County,70026,0.10350431691213814,0.06676798044203641,0.16112324058159522
NV,2022,32021,Mineral County,46625,0.18473895582329317,0.05487480021310602,0.14649095923996322
NV,2022,32023,Nye County,53602,0.15293792449849944,0.08529048207663782,0.1253838533927687
NV,2022,32027,Pershing County,66304,0.09819013938007073,0.07867494824016563,0.10053859964093358
NV,2022,32029,Storey County,86932,0.09086456037227529,0.06532988357050452,0.3135239318984902
NV,2022,32031,Washoe County,81531,0.1087938100253397,0.04759995187873441,0.3247802013126006
NV,2022,32033,White Pine County,71297,0.0924449249898635,0.039054197662061634,0.13304593429463357
NV,2022,32510,Carson City,67465,0.11177274853380348,0.04445481205011997,0.24305142067782884
UT,2022,49001,Beaver County,80268,0.07031023485068136,0.03519417475728155,0.2754067436925253
UT,2022,49003,Box Elder County,72769,0.08149133107688057,0.025623000949000035,0.2583699113520957
UT,2022,49005,Cache County,72719,0.13545270828868,0.023881354498547946,0.39954069099841566
UT,2022,49007,Carbon County,53734,0.16605757196495619,0.06308213378492802,0.16731898238747553
UT,2022,49009,Daggett County,61250,0.07809847198641766,0.033707865168539325,0.18181818181818182
UT,2022,49011,Davis County,101285,0.0604573848420854,0.023988942138351354,0.3837453336552569
UT,2022,49013,Duchesne County,70821,0.1350100293164635,0.0411508482347547,0.14377133105802048
UT,2022,49015,Emery County,67056,0.11806761311408437,0.034966643662295835,0.15600127347978351
UT,2022,49017,Garfield County,56481,0.15908631493834646,0.04230317273795535,0.30317587403255936
UT,2022,49019,Grand County,59171,0.15678716532972184,0.012341446691806651,0.3172166427546628
UT,2022,49021,Iron County,63005,0.1412299493181462,0.031755851118672025,0.30378697134432875
UT,2022,49023,Juab County,88048,0.0856245756958588,0.018430753027909426,0.2139251781472684
UT,2022,49025,Kane County,70327,0.12917712323339056,0.034093959731543624,0.3238808632067059
UT,2022,49027,Millard County,69403,0.11187995646089255,0.04225352112676056,0.23550221099178775
UT,2022,49029,Morgan County,120854,0.017239983812221773,0.016809728183118742,0.37579250720461094
UT,2022,49031,Piute County,33359,0.20904925544100803,0.08357348703170028,0.19611021069692058
UT,2022,49033,Rich County,69250,0.08007889546351085,0.02516940948693127,0.2683246073298429
UT,2022,49035,Salt Lake County,90011,0.08096582738290965,0.034682345912517024,0.37693657677910564
UT,2022,49037,San Juan County,52108,0.20651103923498804,0.10780780780780781,0.19059378156919968
UT,2022,49039,Sanpete County,64356,0.14814814814814814,0.043559334675915565,0.2232281875324376
UT,2022,49041,Sevier County,66972,0.11740130498051918,0.046529662659945716,0.2282712511938873
UT,2022,49043,Summit County,126392,0.05235824559746943,0.0220233139050791,0.5744289384156078
UT,2022,49045,Tooele County,95545,0.045369497821663184,0.037508473299691196,0.2258375844478147
UT,2022,49047,Uintah County,67983,0.11572181659290165,0.05883775775533652,0.17976207269478534
UT,2022,49049,Utah County,91263,0.08867067159581023,0.0331955907098133,0.42826303454609427
UT,2022,49051,Wasatch County,104855,0.05359864278114846,0.02316944736987972,0.46675712347354137
UT,2022,49053,Washington County,71976,0.08816140378000233,0.029629095627725914,0.3276444282194031
UT,2022,49055,Wayne County,64870,0.0846307385229541,0.006201550387596899,0.22247575584711923
UT,2022,49057,Weber County,82291,0.07639593908629441,0.029924127035853693,0.2701134777595728
AZ,2023,04001,Apache County,40338,0.31223746849621953,0.0910620213378193,0.1526852353259718
AZ,2023,04003,Cochise County,58970,0.15538536307419015,0.06801411613731152,0.27657715188384363
AZ,2023,04005,Coconino County,69748,0.17683422685380398,0.062171863623008826,0.3961938901319695
